PartcipantID:1
InitialTimeStamp:17-42-11-497
block;trial;eventType;elapsedTime
1;1;Trial;59
1;1;ParticipantSkip;397
1;1;TrialAnswer;425
1;1;ParticipantAnswer;1434
1;1;InterTrialRest;1461
1;2;Trial;1600
1;2;ParticipantSkip;1776
1;2;TrialAnswer;1805
1;2;ParticipantAnswer;2814
1;2;InterTrialRest;2841
1;3;Trial;2978
1;3;ParticipantSkip;3106
1;3;TrialAnswer;3134
1;3;ParticipantAnswer;4144
1;3;InterTrialRest;4172
1;4;Trial;4309
1;4;ParticipantSkip;4486
1;4;TrialAnswer;4514
1;4;ParticipantAnswer;5526
1;4;InterTrialRest;5554
1;5;Trial;5693
1;5;ParticipantSkip;5889
1;5;TrialAnswer;5917
1;5;ParticipantAnswer;6926
1;5;InterTrialRest;6954
1;5;BDM_Auction;7090
1;5;LikertScale;17132
2;0;InterBlockRest;27183
2;1;Trial;30231
2;1;ParticipantSkip;31798
2;1;TrialAnswer;31828
2;1;ParticipantAnswer;32837
2;1;InterTrialRest;32865
2;2;Trial;33002
2;2;ParticipantSkip;33592
2;2;TrialAnswer;33621
2;2;ParticipantAnswer;34632
2;2;InterTrialRest;34659
2;3;Trial;34798
2;3;ParticipantSkip;34896
2;3;TrialAnswer;34925
2;3;ParticipantAnswer;35937
2;3;InterTrialRest;35963
2;4;Trial;36099
2;4;ParticipantSkip;36261
2;4;TrialAnswer;36289
2;4;ParticipantAnswer;37299
2;4;InterTrialRest;37327
2;5;Trial;37465
2;5;ParticipantSkip;37645
2;5;TrialAnswer;37674
2;5;ParticipantAnswer;38694
2;5;InterTrialRest;38722
2;5;BDM_Auction;38857
2;5;LikertScale;48897
