PartcipantID:1
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;0;0;0.435379;1;48;(8.5,2.5)(8,6.5)(8.5,1)(8.5,-0.5)(0,5.5)(-0.5,2);
1;2;1;1;0.1394806;0;64;(5.5,-0.5)(-0.5,2.5)(-0.5,6.5)(6,4)(8.5,0.5)(8,3);
1;3;0;0;0.1563663;1;55;(8.5,1.5)(0,2.5)(8.5,6)(-0.5,6)(6.5,-0.5)(0,4.5);
1;4;1;0;0.1223698;0;17;(-0.5,4.5)(4.5,6.5)(-0.5,-0.5)(4,-0.5)(2,2.5)(1.5,6.5);
1;5;1;0;0.1217575;0;38;(8,6.5)(8.5,1.5)(-0.5,6)(6.5,-0.5)(5,-0.5)(2,-0.5);
1;6;2;0;1.910311;1;35;(2.5,3.5)(8.5,3)(8.5,1.5)(5.5,6.5)(0,3.5)(5.5,0);
1;7;2;0;0.2425537;0;59;(8.5,2.5)(-0.5,0.5)(-0.5,6.5)(8.5,0)(2,-0.5)(5.5,-0.5);
1;8;0;0;0.0338974;0;45;(8.5,6)(2,6.5)(-0.5,5)(1.5,-0.5)(8,4.5)(7.5,0);
1;9;0;0;0.5490551;0;80;(8,5.5)(-0.5,1.5)(0,4.5)(0.5,-0.5)(8.5,3.5)(0,6);
1;10;0;1;0.4104061;0;65;(5.5,3.5)(8.5,3.5)(0.5,-0.5)(5,-0.5)(7,0)(0,5.5);
