PartcipantID:K1
RandID:1
InitialTimeStamp:01-04-01-157
instanceNumber;capacity;profit;weights;values;id;type;sol
1;41;79;64,61,24,82,46,69;31,30,82,87,12,75;122;;1
2;160;180;15,45,54,42,81,30;49,27,23,16,69,60;123;;0
3;158;179;23,34,95,94,24,91;67,56,59,46,14,10;126;;1
4;126;156;42,36,66,75,79,96;66,24,86,44,85,48;127;;0
5;244;336;34,71,82,57,50,46;79,95,76,34,91,75;130;;1
6;92;239;98,32,80,14,21,86;24,56,62,87,92,95;131;;0
7;281;352;70,34,49,48,55,96;75,23,71,92,93,97;134;;1
8;405;373;80,76,94,85,50,56;82,20,17,77,98,92;135;;0
9;144;154;50,50,26,37,40,75;36,29,35,20,27,94;138;;1
10;148;221;42,37,26,59,60,62;10,84,65,69,36,61;139;;0
11;348;368;92,15,75,27,90,49;91,79,56,26,34,86;142;;1
12;249;235;84,93,92,24,33,90;30,69,11,97,36,22;143;;0
13;165;261;45,32,46,31,68,22;32,67,78,83,51,36;146;;1
14;104;219;26,10,59,90,24,28;41,65,84,82,50,59;147;;0
15;176;224;58,20,66,60,28,13;42,53,25,51,81,13;150;;1
16;237;192;31,76,86,26,43,68;55,81,28,56,51,50;121;;1
17;168;403;74,10,67,62,22,66;23,73,95,58,73,95;124;;0
18;182;191;81,70,18,60,11,13;56,47,42,62,36,51;125;;1
19;90;300;14,28,23,68,51,68;65,79,93,14,75,66;128;;0
20;47;57;93,38,27,50,16,72;18,57,14,42,85,47;129;;1
21;395;327;64,14,95,71,98,88;11,76,84,36,35,49;132;;0
22;65;129;74,32,25,43,17,14;50,18,84,89,43,57;133;;1
23;30;126;32,16,84,53,43,27;14,88,31,48,11,48;136;;0
24;170;244;73,27,36,54,26,51;72,92,70,59,71,15;137;;1
25;181;189;78,67,67,85,69,13;38,19,79,45,23,28;140;;0
26;190;157;31,44,49,41,58,42;32,52,10,30,80,30;141;;1
27;252;239;48,81,86,68,48,19;66,44,12,13,41,52;144;;0
28;29;44;38,15,29,42,98,23;70,91,16,17,37,61;145;;1
29;139;166;88,86,44,60,62,97;30,83,45,50,19,13;148;;0
30;144;143;33,70,26,79,86,34;66,52,62,72,39,66;149;;1
