PartcipantID:K1
RandID:1
InitialTimeStamp:01-04-01-157
block;trial;eventType;elapsedTime
1;1;ParticipantSkip;1.886
1;1;ParticipantAnswer;4.354
1;2;ParticipantSkip;5.921
1;2;ParticipantAnswer;7.675
1;3;ParticipantSkip;9.175
1;3;ParticipantAnswer;10.874
1;4;ParticipantSkip;12.27
1;4;ParticipantAnswer;13.938
1;5;ParticipantSkip;15.38
1;5;ParticipantAnswer;17.03
1;6;ParticipantSkip;18.348
1;6;ParticipantAnswer;19.96
1;7;ParticipantSkip;21.411
1;7;ParticipantAnswer;23.043
1;8;ParticipantSkip;24.537
1;8;ParticipantAnswer;26.182
1;9;ParticipantSkip;28.068
1;9;ParticipantAnswer;29.682
1;10;ParticipantSkip;31.926
1;10;ParticipantAnswer;33.591
1;LikertScale;36.357
1;BDM_Auction;38.613
2;1;ParticipantSkip;43.756
2;1;ParticipantAnswer;45.51
2;2;ParticipantSkip;47.522
2;2;ParticipantAnswer;49.699
2;3;ParticipantSkip;51.827
2;3;ParticipantAnswer;54.38
2;4;ParticipantSkip;56.832
2;4;ParticipantAnswer;58.871
2;5;ParticipantSkip;61.168
2;5;ParticipantAnswer;63.338
2;6;ParticipantSkip;65.549
2;6;ParticipantAnswer;67.625
2;7;ParticipantSkip;72.16
2;7;ParticipantAnswer;74.777
2;8;ParticipantSkip;77.178
2;8;ParticipantAnswer;79.455
2;9;ParticipantSkip;83.717
2;9;ParticipantAnswer;85.845
2;10;ParticipantSkip;89.677
2;10;ParticipantAnswer;91.987
2;LikertScale;94.911
2;BDM_Auction;97.427
