PartcipantID:k1
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;0;0;2.992983;0;79;(-300,112)(700,310)(-700,442)(500,46)(700,-152)(500,-218);
1;2;1;0;3.006239;0;37;(-100,-284)(-400,376)(-600,-350)(700,-218)(-600,112)(300,178);
1;3;0;1;2.611752;0;12;(-700,244)(-700,-350)(-300,442)(0,-350)(400,-350)(-200,376);
1;4;1;1;2.909708;1;7;(-500,244)(500,-350)(-500,376)(-600,112)(700,310)(-800,-284);
1;5;2;0;4.839039;0;77;(-500,442)(400,376)(-400,-284)(-700,310)(700,-86)(300,-218);
1;6;0;1;7.095514;0;21;(700,442)(700,310)(-400,178)(-100,244)(400,46)(-700,376);
1;7;0;1;2.078218;0;27;(-800,-20)(300,244)(100,-350)(-800,-152)(600,112)(0,-350);
1;8;0;1;1.525429;0;70;(-300,-152)(300,-350)(-100,310)(-600,-350)(-200,442)(400,46);
1;9;0;1;1.431698;0;58;(-400,-284)(-600,-218)(-700,112)(300,178)(-800,46)(-700,310);
1;10;0;1;1.121861;0;60;(300,-86)(-700,46)(-300,46)(100,-218)(-100,-218)(500,-86);
