PartcipantID:k1
RandID:1
InitialTimeStamp:23-51-27-698
block;trial;eventType;elapsedTime
1;1;TrialKP;57
1;1;ParticipantSkip;1615
1;1;TrialAnswer;1643
1;1;ParticipantAnswer;2247
1;1;InterTrialRest;2273
1;2;TrialKP;3520
1;2;ParticipantSkip;3900
1;2;TrialAnswer;3929
1;2;ParticipantAnswer;4121
1;2;InterTrialRest;4148
1;3;TrialKP;5392
1;3;ParticipantSkip;5860
1;3;TrialAnswer;5888
1;3;ParticipantAnswer;6445
1;3;InterTrialRest;6472
1;4;TrialKP;7722
1;4;ParticipantSkip;8051
1;4;TrialAnswer;8080
1;4;ParticipantAnswer;8328
1;4;InterTrialRest;8355
1;5;TrialKP;9604
1;5;ParticipantSkip;10137
1;5;TrialAnswer;10172
1;5;ParticipantAnswer;10355
1;5;InterTrialRest;10382
1;5;LikertScale;11636
1;5;BDM_Auction;15280
2;0;InterBlockRest;17959
