PartcipantID:k5
RandID:5
InitialTimeStamp:14-40-28-649
instanceNumber;capacity;profit;weights;values;id;type;sol
1;60;95;5,14,5,49,32,30;9,45,32,2,42,27;191-0.45-0.61;;1
2;52;90;12,15,24,36,5,36;24,42,12,22,34,9;218-0.41-0.63;;1
3;47;82;2,23,24,12,41,14;48,38,27,5,2,13;35-0.41-0.62;;1
4;67;110;3,26,21,44,18,41;28,48,14,25,35,20;17-0.44-0.65;;1
5;57;76;9,23,1,3,43,49;23,11,16,10,45,14;136-0.45-0.64;;1
6;55;91;21,20,4,19,17,42;26,28,22,48,10,12;180-0.45-0.63;;1
7;73;41;41,25,6,16,35,40;23,9,3,16,3,10;138-0.45-0.65;;1
8;69;92;20,27,17,21,29,43;24,39,15,36,21,8;90-0.44-0.65;;1
9;42;42;7,39,8,10,8,24;11,4,7,9,31,7;95-0.44-0.61;;1
10;78;98;4,38,25,16,49,47;43,45,20,26,12,13;124-0.44-0.62;;1
11;54;45;1,13,25,27,6,48;1,38,15,8,4,7;203-0.45-0.62;;1
12;74;110;41,11,36,12,29,49;48,47,17,26,17,18;91-0.42-0.64;;1
13;49;124;11,16,6,34,15,35;31,41,10,24,48,38;215-0.42-0.65;;1
14;40;82;48,29,7,4,3,6;21,34,35,16,14,7;116-0.42-0.65;;1
15;40;98;3,2,8,20,17,46;28,13,42,12,34,28;119-0.42-0.63;;1
16;70;93;23,12,25,42,13,42;43,3,17,14,49,24;246-0.45-0.62;;1
17;62;94;13,14,2,43,44,22;21,40,7,27,13,42;229-0.45-0.63;;1
18;49;92;16,26,5,20,39,4;26,6,21,47,42,3;131-0.45-0.64;;1
19;70;57;1,34,15,43,29,43;47,7,6,4,25,4;227-0.43-0.62;;1
20;97;59;47,41,30,30,46,32;18,46,15,2,3,7;146-0.43-0.65;;1
21;60;92;4,37,3,22,40,39;18,11,40,36,32,6;79-0.42-0.65;;1
22;50;98;14,45,12,14,4,35;33,27,38,20,23,10;14-0.41-0.65;;1
23;34;83;7,15,18,11,2,30;35,8,19,19,2,45;190-0.42-0.65;;0
24;75;80;5,47,32,45,11,28;36,2,28,16,17,27;172-0.45-0.64;;1
25;64;64;17,20,24,17,24,48;8,27,7,30,20,7;143-0.43-0.65;;1
26;54;113;33,11,29,33,19,1;46,18,18,41,47,13;201-0.43-0.62;;0
27;44;76;18,24,21,10,7,27;32,30,7,12,18,19;114-0.42-0.65;;0
28;48;112;29,12,11,42,20,1;30,17,27,48,34,19;66-0.42-0.64;;0
29;74;105;38,39,14,44,9,33;46,38,40,2,9,28;183-0.42-0.65;;0
30;73;120;42,49,13,22,38,4;26,49,47,43,22,4;111-0.44-0.63;;0
31;76;103;9,42,24,33,31,34;49,23,18,42,3,30;118-0.44-0.63;;1
32;85;101;25,28,16,36,48,37;26,28,27,48,29,9;224-0.45-0.61;;1
33;65;123;41,17,34,25,4,24;46,14,37,35,32,35;168-0.45-0.62;;0
34;46;49;14,20,34,27,5,9;42,3,14,10,6,3;223-0.43-0.64;;1
35;55;99;23,7,3,49,29,19;24,7,37,43,21,28;182-0.43-0.62;;0
36;63;117;25,23,22,30,3,39;49,32,38,31,31,11;8-0.45-0.61;;1
37;60;92;24,48,15,33,3,18;11,49,5,25,9,44;63-0.43-0.65;;0
38;67;93;35,32,44,8,43,2;23,46,18,30,18,15;164-0.41-0.62;;0
39;57;60;9,26,43,14,10,34;2,3,3,43,21,23;27-0.42-0.64;;1
40;47;81;27,43,12,10,10,3;18,3,18,20,30,37;7-0.45-0.65;;1
41;56;113;25,20,33,38,11,4;18,36,3,33,39,48;166-0.43-0.64;;1
42;81;90;7,22,36,40,30,47;8,46,17,18,47,5;186-0.45-0.64;;1
