PartcipantID:k5
RandID:5
InitialTimeStamp:00-31-42-352
instanceNumber;capacity;profit;weights;values;id;type;sol
1;291;168;93,63,64,42,27,15;73,51,20,19,13,40;1;;1
2;53;107;59,15,50,17,67,59;54,61,32,50,91,72;2;;1
3;14;46;21,37,63,21,22,12;53,48,41,93,91,42;3;;0
4;200;203;38,76,72,68,69,94;75,15,15,23,71,15;4;;0
5;117;162;24,74,72,41,67,16;75,48,22,33,71,67;5;;1
6;185;250;43,22,33,68,96,28;44,82,52,73,91,29;6;;1
7;159;210;12,71,47,48,92,93;73,69,65,44,55,14;7;;0
8;208;250;73,41,83,49,22,39;11,30,16,98,18,66;8;;0
9;314;178;53,60,74,74,59,94;52,48,49,33,44,78;9;;1
10;245;194;56,61,14,61,55,76;44,48,54,50,15,38;10;;1
11;199;228;30,57,89,61,93,53;77,81,13,51,22,67;11;;0
12;65;193;76,86,67,17,27,55;45,31,52,90,57,15;12;;0
13;436;191;86,65,88,71,71,93;49,10,23,64,73,20;13;;1
14;222;264;96,15,59,88,19,16;66,55,83,58,18,45;14;;1
15;68;106;50,64,16,31,40,86;83,27,17,82,85,79;15;;0
16;238;424;90,44,68,52,61,35;67,34,68,95,98,91;16;;0
17;116;113;30,35,41,24,56,78;18,61,16,71,25,83;17;;1
18;246;319;95,29,65,29,60,65;71,96,78,78,46,17;18;;1
19;61;166;32,56,97,38,73,11;91,73,25,39,96,71;19;;0
20;174;278;67,30,82,23,78,32;89,17,78,36,19,84;20;;0
21;337;314;49,71,13,65,98,87;70,76,22,98,93,98;21;;1
22;233;224;32,60,49,17,86,80;47,75,32,35,70,22;22;;1
23;84;166;27,81,53,30,82,80;72,15,91,28,52,78;23;;0
24;206;309;58,55,25,22,67,19;64,73,30,52,33,43;24;;0
25;179;90;85,36,90,66,96,75;50,44,88,24,59,35;25;;1
26;135;175;47,95,53,73,15,94;91,19,55,13,32,49;26;;1
27;132;226;67,18,37,78,22,14;29,71,62,36,22,68;27;;0
28;156;248;19,67,35,45,43,91;51,48,64,45,39,59;28;;0
29;223;154;57,29,91,33,68,32;19,15,59,55,61,14;29;;1
30;263;300;89,44,54,31,39,17;55,18,63,72,33,80;30;;1
31;250;345;51,90,16,21,40,32;69,97,31,52,29,64;31;;0
32;113;246;16,26,55,51,97,70;60,29,85,24,70,98;32;;0
33;344;200;36,82,98,91,59,64;94,33,59,60,20,23;33;;1
34;323;322;75,25,40,91,49,43;16,60,94,75,63,17;34;;1
35;175;221;49,22,74,69,39,40;29,19,20,81,74,44;35;;0
36;52;141;69,49,64,24,49,76;66,89,48,53,23,48;36;;0
37;85;122;27,27,42,29,67,74;46,40,39,83,33,54;37;;1
38;276;297;33,88,30,64,81,49;15,43,61,58,95,71;38;;1
39;178;260;37,25,92,46,64,33;43,59,31,41,74,81;39;;0
40;275;429;94,58,68,49,13,17;76,94,65,40,55,74;40;;0
41;28;46;28,93,76,64,10,91;83,45,18,25,89,11;41;;1
42;94;106;81,94,42,30,32,60;30,73,34,19,75,29;42;;1
43;68;132;84,74,13,90,61,18;64,65,84,77,54,44;43;;0
44;430;425;75,86,55,87,74,53;84,14,61,37,82,88;44;;0
45;165;200;44,21,23,43,30,69;84,10,57,40,65,94;45;;1
46;319;283;94,32,43,55,69,26;82,24,18,16,80,66;46;;1
47;362;299;92,61,59,78,72,50;69,97,12,73,10,45;47;;0
48;278;383;13,10,87,55,54,97;63,39,58,91,76,24;48;;0
49;68;13;77,94,63,28,69,94;43,39,71,41,80,87;49;;1
50;266;218;28,24,53,83,94,69;11,39,63,75,14,32;50;;1
51;208;393;43,29,40,17,79,66;96,82,82,69,56,60;51;;0
52;107;150;87,57,86,94,70,54;98,34,43,23,52,75;52;;0
53;202;229;16,47,25,75,46,72;75,68,11,22,82,54;53;;1
54;150;155;68,62,95,40,82,28;94,20,38,22,10,41;54;;1
55;79;173;22,84,34,51,43,96;84,85,44,83,84,89;55;;0
56;470;264;95,53,84,71,97,70;22,13,56,42,61,34;56;;0
57;54;46;47,73,81,33,78,30;89,14,19,51,15,82;57;;1
58;75;47;49,54,97,95,55,29;25,36,46,25,22,49;58;;1
59;272;272;83,78,57,21,71,91;16,84,94,34,57,38;59;;0
60;290;385;57,56,51,23,48,81;97,30,60,53,72,46;60;;0
61;75;81;46,49,72,73,35,38;53,50,56,77,94,47;61;;1
62;54;82;95,62,18,38,27,98;44,43,70,38,15,65;62;;1
63;179;281;90,78,19,58,36,39;63,41,83,48,49,97;63;;0
64;115;214;16,36,28,75,26,42;65,32,30,14,12,71;64;;0
65;109;49;70,65,89,12,52,53;37,73,80,17,76,16;65;;1
66;124;245;62,77,16,39,12,34;35,68,57,91,80,21;66;;1
