PartcipantID:k5
InitialTimeStamp:00-23-19-537
block;trial;eventType;elapsedTime
1;1;TrialKP;45
1;1;ParticipantSkip;677
1;1;TrialAnswer;706
1;1;ParticipantAnswer;1721
1;1;InterTrialRest;1747
1;2;TrialKP;2992
1;2;ParticipantSkip;3328
1;2;TrialAnswer;3361
1;2;ParticipantAnswer;4373
1;2;InterTrialRest;4401
1;3;TrialKP;5648
1;3;ParticipantSkip;6321
1;3;TrialAnswer;6350
1;3;ParticipantAnswer;7365
1;3;InterTrialRest;7392
1;4;TrialKP;8637
1;4;ParticipantSkip;9070
1;4;TrialAnswer;9099
1;4;ParticipantAnswer;10112
1;4;InterTrialRest;10140
1;5;TrialKP;11386
1;5;ParticipantSkip;11564
1;5;TrialAnswer;11593
1;5;ParticipantAnswer;12605
1;5;InterTrialRest;12633
1;5;LikertScale;13880
1;5;BDM_Auction;17125
2;0;InterBlockRest;24028
2;1;TrialKP;27081
