PartcipantID:s13
RandID:13
InitialTimeStamp:11-35-08-441
instanceNumber;left;right;answer
1;371;313;0
2;313;371;1
3;371;313;0
4;371;313;0
5;371;313;0
6;313;371;1
7;371;313;0
8;313;371;1
9;313;371;1
10;313;371;1
11;348;313;0
12;348;313;0
13;313;348;1
14;313;348;1
15;348;313;0
16;313;348;1
17;313;348;1
18;348;313;0
19;313;348;1
20;348;313;0
21;337;313;0
22;337;313;0
23;337;313;0
24;313;337;1
25;313;337;1
26;313;337;1
27;337;313;0
28;313;337;1
29;337;313;0
30;313;337;1
31;313;359;1
32;313;359;1
33;359;313;0
34;313;359;1
35;359;313;0
36;359;313;0
37;359;313;0
38;359;313;0
39;313;359;1
40;359;313;0
