PartcipantID:s13
RandID:13
InitialTimeStamp:11-35-08-441
block;trial;eventType;elapsedTime
1;1;TrialSampling;0.129
1;1;ParticipantAnswer;2.856
1;1;InterTrialRest;2.881
1;2;TrialSampling;4.197
1;2;ParticipantAnswer;6.344
1;2;InterTrialRest;6.371
1;3;TrialSampling;7.686
1;3;ParticipantAnswer;9.795
1;3;InterTrialRest;9.823
1;4;TrialSampling;11.157
1;4;ParticipantAnswer;13.34
1;4;InterTrialRest;13.368
1;5;TrialSampling;14.695
1;5;ParticipantAnswer;16.779
1;5;InterTrialRest;16.807
1;5;LikertScale;18.057
1;5;ParticipantAnswer;21.229
1;5;BDM_Auction;21.256
1;5;ParticipantAnswer;23.934
2;0;InterBlockRest;23.961
2;1;TrialSampling;27.083
2;1;ParticipantAnswer;30.28
2;1;InterTrialRest;30.307
2;2;TrialSampling;31.631
2;2;ParticipantAnswer;33.922
2;2;InterTrialRest;33.949
