PartcipantID:s1
RandID:1
InitialTimeStamp:22-28-33-461
instanceNumber;left;right;answer
1;313;359;1
2;359;313;0
3;359;313;0
4;313;359;1
5;313;359;1
6;313;359;1
7;313;359;1
8;359;313;0
9;313;359;1
10;359;313;0
11;371;313;0
12;371;313;0
13;371;313;0
14;313;371;1
15;313;371;1
16;313;371;1
17;371;313;0
18;313;371;1
19;371;313;0
20;371;313;0
21;348;313;0
22;348;313;0
23;313;348;1
24;313;348;1
25;348;313;0
26;348;313;0
27;313;348;1
28;313;348;1
29;313;348;1
30;348;313;0
31;337;313;0
32;313;337;1
33;337;313;0
34;337;313;0
35;337;313;0
36;313;337;1
37;313;337;1
38;337;313;0
39;313;337;1
40;337;313;0
