PartcipantID:s3
RandID:3
InitialTimeStamp:21-16-51-644
block;trial;solution;answer;correct;timeSpent;instanceNumber;pay;feedbackON;error
1;1;0;0;1;0.2575624;30;0.2;True;
1;2;0;0;1;0.2719356;25;0.2;True;
1;3;1;1;1;0.349826;16;0.2;True;
1;4;1;1;1;0.3043349;24;0.2;True;
1;5;0;0;1;0.2604541;28;0.2;True;
1;6;1;1;1;0.4188573;19;0.2;True;
1;7;0;0;1;0.1871625;22;0.2;True;
1;8;1;1;1;0.2391996;17;0.2;True;
1;9;1;1;1;0.2383169;27;0.2;True;
1;10;1;1;1;0.3067665;26;0.2;True;
1;LikertScale;1;NA;999;NA;NA;NA;
